Id,GoodReadings,DepthRange,BinCount
42934,41.976736557,457.330939810,84012981
42931,65.048673837,544.693277531,21034285
42927,80.689624225,828.444237051,50814410
42912,55.744042214,576.195290365,97678044
42901,10.910648715,155.082661318,8455315
42887,95.458479440,885.588637393,148521099
42880,39.391814106,477.455557029,82292401
42876,49.313097086,512.035468743,90650267
42874,84.826273794,637.552443472,9853067
42396,87.387180804,862.783769902,38130630
42394,74.243150846,815.648292290,141852481
42390,62.429834092,729.839416058,118165365
42374,68.957665212,341.441388918,42769905
42370,95.748742783,528.602781399,25458664
42368,91.284745573,1226.902162950,34047619
42363,72.214497873,897.974473209,140144197
