Id,GoodReadings,DepthRange,BinCount,index
42934,41.97673656,457.3309398,84012981,1
42931,65.04867384,544.6932775,21034285,2
42927,80.68962423,828.4442371,50814410,3
42912,55.74404221,576.1952904,97678044,4
42901,10.91064872,155.0826613,8455315,5
42887,95.45847944,885.5886374,148521099,6
42880,39.39181411,477.455557,82292401,7
42876,49.31309709,512.0354687,90650267,8
42874,84.82627379,637.5524435,9853067,9
42396,87.3871808,862.7837699,38130630,10
42394,74.24315085,815.6482923,141852481,11
42390,62.42983409,729.8394161,118165365,12
42374,68.95766521,341.4413889,42769905,13
42370,95.74874278,528.6027814,25458664,14
42368,91.28474557,1226.902163,34047619,15
42363,72.21449787,897.9744732,140144197,16
