month42901,42370,42374,42880,42887,42901
"January	0	69.3	37.7	95.1	40.2",0,69.3,37.7,95.1,40.2
"February	0	70.1	34.9	93.0	30.6",0,70.1,34.9,93,30.6
"March	0	70.5	36.6	95.0	14.8",0,70.5,36.6,95,14.8
"April	0	68.1	39.9	94.3	10.5",0,68.1,39.9,94.3,10.5
"May	0	69.3	40.1	96.7	18.9",0,69.3,40.1,96.7,18.9
"June	96.6	69.6	42.0	98.8	50.5",96.6,69.6,42,98.8,50.5
"July	96.4	66.5	43.4	94.6	14.6",96.4,66.5,43.4,94.6,14.6
"August	97.8	70.0	40.1	97.5	3.2",97.8,70,40.1,97.5,3.2
"September	0.0	0.0	40.2	96.8	7.2",0,0,40.2,96.8,7.2
"October	95.5	69.6	0.0	92.8	5.2",95.5,69.6,0,92.8,5.2
"November	94.7	66.6	0.0	93.8	0.6",94.7,66.6,0,93.8,0.6
"December	95.1	70.4	0.0	0.0	0.7",95.1,70.4,0,0,0.7
"					",,,,,
"					",,,,,
"					",,,,,
